segment,N,SPM72_min,SPM72_max,SPM72_mean,PV_Rear_min_mA,PV_Rear_max_mA,PV_Rear_mean_mA,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,slope,intercept,R2,RMSE_mA
S08-A,139,120.0,234.0,166.6978417266187,20.1,45.3,27.472302158273386,0.9902357336407079,4.001844449965234e-119,0.998404216226182,6.82341126774729e-173,0.17169820278672168,-1.1494176746124225,0.9805668081789515,0.6447131012098252
S08-B,58,214.0,764.0,504.8965517241379,36.7,122.7,82.01534482758619,0.986217203695612,1.8963496219348603e-45,0.957468082286664,6.539971805453115e-32,0.15856438902290948,1.9567315836744406,0.9726243728651919,4.904737273319134
S08-C,58,424.0,707.0,669.9137931034483,73.1,114.1,107.85344827586206,0.7712755549070819,1.4011951170100853e-12,0.7558556662621464,6.947169381743885e-12,0.13316946252718795,18.64138850872616,0.5948659815972263,4.0553614672761364
