timestamp,spm72_wm2,image,status
2026-08-21T10:06:31+03:00,464,series/20260821_100631/20260821_100631.jpg,VALID
2026-08-21T10:07:01+03:00,466,series/20260821_100631/20260821_100701.jpg,VALID
2026-08-21T10:07:31+03:00,466,series/20260821_100631/20260821_100731.jpg,VALID
2026-08-21T10:08:01+03:00,467,series/20260821_100631/20260821_100801.jpg,VALID
2026-08-21T10:08:31+03:00,468,series/20260821_100631/20260821_100831.jpg,VALID
2026-08-21T10:09:01+03:00,471,series/20260821_100631/20260821_100901.jpg,VALID
2026-08-21T10:09:31+03:00,470,series/20260821_100631/20260821_100931.jpg,VALID
2026-08-21T10:10:01+03:00,474,series/20260821_100631/20260821_101001.jpg,VALID
2026-08-21T10:10:31+03:00,476,series/20260821_100631/20260821_101031.jpg,VALID
2026-08-21T10:11:01+03:00,478,series/20260821_100631/20260821_101101.jpg,VALID
2026-08-21T10:11:31+03:00,478,series/20260821_100631/20260821_101131.jpg,VALID
2026-08-21T10:12:01+03:00,479,series/20260821_100631/20260821_101201.jpg,VALID
2026-08-21T10:12:31+03:00,482,series/20260821_100631/20260821_101231.jpg,VALID
2026-08-21T10:13:01+03:00,482,series/20260821_100631/20260821_101301.jpg,VALID
2026-08-21T10:13:31+03:00,484,series/20260821_100631/20260821_101331.jpg,VALID
2026-08-21T10:14:01+03:00,485,series/20260821_100631/20260821_101401.jpg,VALID
2026-08-21T10:14:31+03:00,486,series/20260821_100631/20260821_101431.jpg,VALID
2026-08-21T10:15:01+03:00,487,series/20260821_100631/20260821_101501.jpg,VALID
2026-08-21T10:15:31+03:00,490,series/20260821_100631/20260821_101531.jpg,VALID
2026-08-21T10:16:01+03:00,,series/20260821_100631/20260821_101601.jpg,OCR_ERROR
2026-08-21T10:16:31+03:00,494,series/20260821_100631/20260821_101631.jpg,VALID
2026-08-21T10:17:01+03:00,496,series/20260821_100631/20260821_101701.jpg,VALID
2026-08-21T10:17:31+03:00,,series/20260821_100631/20260821_101731.jpg,OCR_ERROR
2026-08-21T10:18:01+03:00,498,series/20260821_100631/20260821_101801.jpg,VALID
2026-08-21T10:18:31+03:00,501,series/20260821_100631/20260821_101831.jpg,VALID
2026-08-21T10:19:01+03:00,,series/20260821_100631/20260821_101901.jpg,OCR_ERROR
2026-08-21T10:19:31+03:00,500,series/20260821_100631/20260821_101931.jpg,VALID
2026-08-21T10:20:01+03:00,504,series/20260821_100631/20260821_102001.jpg,VALID
2026-08-21T10:20:31+03:00,505,series/20260821_100631/20260821_102031.jpg,VALID
2026-08-21T10:21:01+03:00,503,series/20260821_100631/20260821_102101.jpg,VALID
2026-08-21T10:21:31+03:00,505,series/20260821_100631/20260821_102131.jpg,VALID
2026-08-21T10:22:01+03:00,508,series/20260821_100631/20260821_102201.jpg,VALID
2026-08-21T10:22:31+03:00,509,series/20260821_100631/20260821_102231.jpg,VALID
2026-08-21T10:23:01+03:00,507,series/20260821_100631/20260821_102301.jpg,VALID
2026-08-21T10:23:31+03:00,507,series/20260821_100631/20260821_102331.jpg,VALID
2026-08-21T10:24:01+03:00,509,series/20260821_100631/20260821_102401.jpg,VALID
2026-08-21T10:24:31+03:00,510,series/20260821_100631/20260821_102431.jpg,VALID
2026-08-21T10:25:01+03:00,508,series/20260821_100631/20260821_102501.jpg,VALID
2026-08-21T10:25:31+03:00,506,series/20260821_100631/20260821_102531.jpg,VALID
2026-08-21T10:26:01+03:00,509,series/20260821_100631/20260821_102601.jpg,VALID
2026-08-21T10:26:31+03:00,515,series/20260821_100631/20260821_102631.jpg,VALID
2026-08-21T10:27:01+03:00,510,series/20260821_100631/20260821_102701.jpg,VALID
