series_id,model,N,MAE_Wm2,RMSE_Wm2,Bias_Wm2,R2
S01,Linear,98,33.34013546445351,33.522020688884986,-33.34013546445351,0.3753367125767445
S01,Quadratic,98,29.52932917223663,29.72081067887498,-29.52932917223663,0.5089712676667759
S02,Linear,109,48.710298211643675,145.28069571387192,-27.239420467114773,0.0417326909754453
S02,Quadratic,109,44.88894526280093,146.2333520040459,-33.44508597798462,0.029124099376507617
S03,Linear,231,14.07812060953549,21.602549593862076,9.388056476565467,0.9812829161544097
S03,Quadratic,231,13.452455571519447,21.29744464496327,9.25874454923194,0.9818078863529486
S04,Linear,143,13.721351655410675,14.451209994536109,13.721351655410675,0.8704974058863387
S04,Quadratic,143,16.831489280745526,17.31466899860644,16.831489280745526,0.8140918490328688
S05,Linear,164,22.718261452877865,22.801158749152307,22.718261452877865,-2.855148974876558
S05,Quadratic,164,21.3053565697596,21.443759550369005,21.3053565697596,-2.4098021969021346
S06,Linear,164,13.306820413374153,13.824375457471271,-13.306820413374153,0.954059146344881
S06,Quadratic,164,9.937304557191206,10.461979070168988,-9.937304557191206,0.9736890994004297
S07,Linear,135,10.711038178382212,12.804213974268535,4.164144023281865,0.9834835862070697
S07,Quadratic,135,6.024370933901262,6.890824979167062,0.9581862399966069,0.9952164276449985
