timestamp,spm72_wm2,image,status
2026-08-24T16:39:24+03:00,366,series/20260824_163924/20260824_163924.jpg,VALID
2026-08-24T16:39:54+03:00,,series/20260824_163924/20260824_163954.jpg,OCR_ERROR
2026-08-24T16:40:24+03:00,,series/20260824_163924/20260824_164024.jpg,OCR_ERROR
2026-08-24T16:40:54+03:00,,series/20260824_163924/20260824_164054.jpg,OCR_ERROR
2026-08-24T16:41:24+03:00,,series/20260824_163924/20260824_164124.jpg,OCR_ERROR
2026-08-24T16:41:54+03:00,,series/20260824_163924/20260824_164154.jpg,OCR_ERROR
2026-08-24T16:42:24+03:00,355,series/20260824_163924/20260824_164224.jpg,VALID
2026-08-24T16:42:54+03:00,351,series/20260824_163924/20260824_164254.jpg,VALID
2026-08-24T16:43:24+03:00,,series/20260824_163924/20260824_164324.jpg,OCR_ERROR
2026-08-24T16:43:54+03:00,,series/20260824_163924/20260824_164354.jpg,OCR_ERROR
2026-08-24T16:44:24+03:00,348,series/20260824_163924/20260824_164424.jpg,VALID
2026-08-24T16:44:54+03:00,346,series/20260824_163924/20260824_164454.jpg,VALID
2026-08-24T16:45:24+03:00,,series/20260824_163924/20260824_164524.jpg,OCR_ERROR
2026-08-24T16:45:54+03:00,,series/20260824_163924/20260824_164554.jpg,OCR_ERROR
2026-08-24T16:46:24+03:00,,series/20260824_163924/20260824_164624.jpg,OCR_ERROR
2026-08-24T16:46:54+03:00,,series/20260824_163924/20260824_164654.jpg,OCR_ERROR
2026-08-24T16:47:24+03:00,331,series/20260824_163924/20260824_164724.jpg,VALID
2026-08-24T16:47:54+03:00,,series/20260824_163924/20260824_164754.jpg,OCR_ERROR
2026-08-24T16:48:24+03:00,,series/20260824_163924/20260824_164824.jpg,OCR_ERROR
2026-08-24T16:48:54+03:00,,series/20260824_163924/20260824_164854.jpg,OCR_ERROR
2026-08-24T16:49:24+03:00,328,series/20260824_163924/20260824_164924.jpg,VALID
2026-08-24T16:49:54+03:00,,series/20260824_163924/20260824_164954.jpg,OCR_ERROR
2026-08-24T16:50:24+03:00,325,series/20260824_163924/20260824_165024.jpg,VALID
2026-08-24T16:50:54+03:00,323,series/20260824_163924/20260824_165054.jpg,VALID
2026-08-24T16:51:24+03:00,,series/20260824_163924/20260824_165124.jpg,OCR_ERROR
2026-08-24T16:51:54+03:00,,series/20260824_163924/20260824_165154.jpg,OCR_ERROR
2026-08-24T16:52:24+03:00,311,series/20260824_163924/20260824_165224.jpg,VALID
2026-08-24T16:52:54+03:00,311,series/20260824_163924/20260824_165254.jpg,VALID
2026-08-24T16:53:24+03:00,316,series/20260824_163924/20260824_165324.jpg,VALID
2026-08-24T16:53:54+03:00,315,series/20260824_163924/20260824_165354.jpg,VALID
2026-08-24T16:54:24+03:00,,series/20260824_163924/20260824_165424.jpg,OCR_ERROR
2026-08-24T16:54:54+03:00,312,series/20260824_163924/20260824_165454.jpg,VALID
2026-08-24T16:55:24+03:00,,series/20260824_163924/20260824_165524.jpg,OCR_ERROR
2026-08-24T16:55:54+03:00,306,series/20260824_163924/20260824_165554.jpg,VALID
2026-08-24T16:56:24+03:00,305,series/20260824_163924/20260824_165624.jpg,VALID
2026-08-24T16:56:54+03:00,,series/20260824_163924/20260824_165654.jpg,OCR_ERROR
2026-08-24T16:57:24+03:00,,series/20260824_163924/20260824_165724.jpg,OCR_ERROR
2026-08-24T16:57:54+03:00,,series/20260824_163924/20260824_165754.jpg,OCR_ERROR
2026-08-24T16:58:24+03:00,295,series/20260824_163924/20260824_165824.jpg,VALID
2026-08-24T16:58:54+03:00,296,series/20260824_163924/20260824_165854.jpg,VALID
2026-08-24T16:59:24+03:00,291,series/20260824_163924/20260824_165924.jpg,VALID
2026-08-24T16:59:54+03:00,296,series/20260824_163924/20260824_165954.jpg,VALID
2026-08-24T17:00:24+03:00,,series/20260824_163924/20260824_170024.jpg,OCR_ERROR
2026-08-24T17:00:54+03:00,292,series/20260824_163924/20260824_170054.jpg,VALID
2026-08-24T17:01:24+03:00,,series/20260824_163924/20260824_170124.jpg,OCR_ERROR
2026-08-24T17:01:55+03:00,285,series/20260824_163924/20260824_170155.jpg,VALID
2026-08-24T17:02:25+03:00,281,series/20260824_163924/20260824_170225.jpg,VALID
2026-08-24T17:02:55+03:00,,series/20260824_163924/20260824_170255.jpg,OCR_ERROR
2026-08-24T17:03:25+03:00,,series/20260824_163924/20260824_170325.jpg,OCR_ERROR
2026-08-24T17:03:55+03:00,,series/20260824_163924/20260824_170355.jpg,OCR_ERROR
2026-08-24T17:04:25+03:00,276,series/20260824_163924/20260824_170425.jpg,VALID
2026-08-24T17:04:55+03:00,,series/20260824_163924/20260824_170455.jpg,OCR_ERROR
2026-08-24T17:05:25+03:00,,series/20260824_163924/20260824_170525.jpg,OCR_ERROR
2026-08-24T17:05:55+03:00,,series/20260824_163924/20260824_170555.jpg,OCR_ERROR
2026-08-24T17:06:25+03:00,261,series/20260824_163924/20260824_170625.jpg,VALID
2026-08-24T17:06:55+03:00,265,series/20260824_163924/20260824_170655.jpg,VALID
2026-08-24T17:07:25+03:00,,series/20260824_163924/20260824_170725.jpg,OCR_ERROR
2026-08-24T17:07:55+03:00,263,series/20260824_163924/20260824_170755.jpg,VALID
2026-08-24T17:08:25+03:00,,series/20260824_163924/20260824_170825.jpg,OCR_ERROR
2026-08-24T17:08:55+03:00,,series/20260824_163924/20260824_170855.jpg,OCR_ERROR
2026-08-24T17:09:25+03:00,,series/20260824_163924/20260824_170925.jpg,OCR_ERROR
2026-08-24T17:09:55+03:00,258,series/20260824_163924/20260824_170955.jpg,VALID
2026-08-24T17:10:25+03:00,255,series/20260824_163924/20260824_171025.jpg,VALID
2026-08-24T17:10:55+03:00,,series/20260824_163924/20260824_171055.jpg,OCR_ERROR
2026-08-24T17:11:25+03:00,253,series/20260824_163924/20260824_171125.jpg,VALID
2026-08-24T17:11:55+03:00,,series/20260824_163924/20260824_171155.jpg,OCR_ERROR
2026-08-24T17:12:25+03:00,,series/20260824_163924/20260824_171225.jpg,OCR_ERROR
2026-08-24T17:12:55+03:00,,series/20260824_163924/20260824_171255.jpg,OCR_ERROR
2026-08-24T17:13:25+03:00,241,series/20260824_163924/20260824_171325.jpg,VALID
2026-08-24T17:13:55+03:00,246,series/20260824_163924/20260824_171355.jpg,VALID
2026-08-24T17:14:25+03:00,245,series/20260824_163924/20260824_171425.jpg,VALID
2026-08-24T17:14:55+03:00,242,series/20260824_163924/20260824_171455.jpg,VALID
2026-08-24T17:15:25+03:00,,series/20260824_163924/20260824_171525.jpg,OCR_ERROR
2026-08-24T17:15:55+03:00,238,series/20260824_163924/20260824_171555.jpg,VALID
2026-08-24T17:16:25+03:00,236,series/20260824_163924/20260824_171625.jpg,VALID
2026-08-24T17:16:55+03:00,234,series/20260824_163924/20260824_171655.jpg,VALID
2026-08-24T17:17:25+03:00,,series/20260824_163924/20260824_171725.jpg,OCR_ERROR
2026-08-24T17:17:55+03:00,232,series/20260824_163924/20260824_171755.jpg,VALID
2026-08-24T17:18:25+03:00,,series/20260824_163924/20260824_171825.jpg,OCR_ERROR
2026-08-24T17:18:55+03:00,,series/20260824_163924/20260824_171855.jpg,OCR_ERROR
2026-08-24T17:19:25+03:00,226,series/20260824_163924/20260824_171925.jpg,VALID
2026-08-24T17:19:55+03:00,222,series/20260824_163924/20260824_171955.jpg,VALID
2026-08-24T17:20:25+03:00,,series/20260824_163924/20260824_172025.jpg,OCR_ERROR
2026-08-24T17:20:55+03:00,220,series/20260824_163924/20260824_172055.jpg,VALID
2026-08-24T17:21:25+03:00,215,series/20260824_163924/20260824_172125.jpg,VALID
2026-08-24T17:21:55+03:00,216,series/20260824_163924/20260824_172155.jpg,VALID
2026-08-24T17:22:25+03:00,,series/20260824_163924/20260824_172225.jpg,OCR_ERROR
2026-08-24T17:22:55+03:00,,series/20260824_163924/20260824_172255.jpg,OCR_ERROR
2026-08-24T17:23:25+03:00,211,series/20260824_163924/20260824_172325.jpg,VALID
2026-08-24T17:23:55+03:00,208,series/20260824_163924/20260824_172355.jpg,VALID
2026-08-24T17:24:25+03:00,206,series/20260824_163924/20260824_172425.jpg,VALID
2026-08-24T17:24:55+03:00,,series/20260824_163924/20260824_172455.jpg,OCR_ERROR
2026-08-24T17:25:25+03:00,203,series/20260824_163924/20260824_172525.jpg,VALID
2026-08-24T17:25:55+03:00,,series/20260824_163924/20260824_172555.jpg,OCR_ERROR
2026-08-24T17:26:25+03:00,199,series/20260824_163924/20260824_172625.jpg,VALID
2026-08-24T17:26:55+03:00,196,series/20260824_163924/20260824_172655.jpg,VALID
2026-08-24T17:27:25+03:00,195,series/20260824_163924/20260824_172725.jpg,VALID
2026-08-24T17:27:55+03:00,,series/20260824_163924/20260824_172755.jpg,OCR_ERROR
2026-08-24T17:28:25+03:00,,series/20260824_163924/20260824_172825.jpg,OCR_ERROR
2026-08-24T17:28:55+03:00,,series/20260824_163924/20260824_172855.jpg,OCR_ERROR
2026-08-24T17:29:25+03:00,181,series/20260824_163924/20260824_172925.jpg,VALID
2026-08-24T17:29:55+03:00,,series/20260824_163924/20260824_172955.jpg,OCR_ERROR
2026-08-24T17:30:25+03:00,183,series/20260824_163924/20260824_173025.jpg,VALID
2026-08-24T17:30:55+03:00,,series/20260824_163924/20260824_173055.jpg,OCR_ERROR
2026-08-24T17:31:25+03:00,,series/20260824_163924/20260824_173125.jpg,OCR_ERROR
2026-08-24T17:31:55+03:00,,series/20260824_163924/20260824_173155.jpg,OCR_ERROR
2026-08-24T17:32:25+03:00,171,series/20260824_163924/20260824_173225.jpg,VALID
2026-08-24T17:32:55+03:00,,series/20260824_163924/20260824_173255.jpg,OCR_ERROR
2026-08-24T17:33:25+03:00,173,series/20260824_163924/20260824_173325.jpg,VALID
2026-08-24T17:33:55+03:00,,series/20260824_163924/20260824_173355.jpg,OCR_ERROR
2026-08-24T17:34:25+03:00,166,series/20260824_163924/20260824_173425.jpg,VALID
2026-08-24T17:34:55+03:00,,series/20260824_163924/20260824_173455.jpg,OCR_ERROR
2026-08-24T17:35:25+03:00,,series/20260824_163924/20260824_173525.jpg,OCR_ERROR
2026-08-24T17:35:55+03:00,,series/20260824_163924/20260824_173555.jpg,OCR_ERROR
2026-08-24T17:36:25+03:00,,series/20260824_163924/20260824_173625.jpg,OCR_ERROR
2026-08-24T17:36:55+03:00,156,series/20260824_163924/20260824_173655.jpg,VALID
2026-08-24T17:37:25+03:00,153,series/20260824_163924/20260824_173725.jpg,VALID
2026-08-24T17:37:55+03:00,145,series/20260824_163924/20260824_173755.jpg,VALID
2026-08-24T17:38:25+03:00,,series/20260824_163924/20260824_173825.jpg,OCR_ERROR
2026-08-24T17:38:55+03:00,,series/20260824_163924/20260824_173855.jpg,OCR_ERROR
2026-08-24T17:39:25+03:00,135,series/20260824_163924/20260824_173925.jpg,VALID
