Dataset,N,Mean_G_Wm2,Range_G_Wm2,MAE_Wm2,RMSE_Wm2,MBE_Wm2,nMAE_mean_pct,nRMSE_mean_pct,nMBE_mean_pct,RRMSE_range_pct,R2,Pearson_r,P50_AE_Wm2,P90_AE_Wm2,P95_AE_Wm2,P99_AE_Wm2,Max_AE_Wm2
Calibration,1044,509.2001915708812,730.0,20.253887460018134,50.7334524659624,-2.0907924178688005e-14,3.9775883425210323,9.963360836422673,-4.106032268799255e-15,6.949788009035945,0.9167956533961064,0.9574944665093932,14.914471391948894,32.00766536285803,35.9602196448508,80.03957005390009,660.5890722032929
Validation,583,302.36020583190395,805.0,25.66684662997501,36.07058707747018,4.4446349977232265,8.48883091587932,11.929674071436336,1.4699801468564302,4.480818270493191,0.9791140495312092,0.9903982474589733,22.41586177855323,39.80739899550593,59.757950627250004,132.1056970149889,331.30369141341816
