Model,Equation,MAE [W/m²],RMSE [W/m²],Bias [W/m²],R²,Parameters
Linear,G = 6.55018339 I -37.57718215,20.253887460018163,50.733452465962394,5.4883300969056017e-14,0.9167956533961065,2
Quadratic,G = 0.0055068764 I² +5.72760324 I -10.92475204,18.427467430640515,50.52279241958809,4.1598057480514675e-13,0.917485196107569,3
